o,y,m,lx_kh,lx_th,cld_kh,cld_th,pt_kh,pt_th,dt_kh,dt_th,ln_th,ngay_lv,scc_dt,ds_dt,dvgt_dt,dvgt_b1053,dong_dt,son_cld,dt_lsc,bh_lsc,ds_lsc,dt_son,son_dt,gv_son,cvdv,scc_n,b_n,p_n,hs_cvdv_m,hs_scc_m,hs_b_m,hs_p_m,lx_nt,dt_nt,cld_nt,pt_nt,csi_n,csi_kg,csi_td,csi_cvdv,csi_tt,csi_clsc,csi_grx,csi_ov
HNB,2025,10,521,584,599.025,713.35,1002.897,1103.951,1626.105,1835.669,355.809,26,9.38,268.571,136.14,136.14,58.68,258.946,1835.668,437.814,580.086,258.946,258.946,45.982,3,7,2,4,611.9,43.8,29.3,64.7,0,0,0,0,574,0.9652,0.9663,0.9597,0.9313,0.961,0.9611,0.9574
HNB,2025,11,553,596,649.174,765.556,1051.72,1358.887,1727.102,2153.268,387.718,26,12.845,277.889,137.435,137.435,97.451,268.761,2152.092,591.39,871.223,268.761,268.761,46.679,3,7,2,5,717.4,46.7,48.4,53.6,0,0,0,0,627,0.9809,0.9833,0.9716,0.9651,0.9697,0.9744,0.9742
HNB,2025,12,616,604,658.538,750.186,1162.395,1281.143,1847.518,2069.213,378.031,26,16.538,290.232,163.72,163.72,69.871,247.709,2061.413,664.115,611.418,247.709,247.709,42.543,3,7,2,5,687.1,52.4,34.9,49.5,0,0,0,0,644,0.9519,0.9532,0.9479,0.9446,0.9476,0.9505,0.9493
HNB,2026,1,587.7243,605,618.169,665.991,1098.345,1113.852,1744.28,1800.371,336.949,26,9.213,233.976,160.01,160.01,53.053,230.267,1800.371,375.512,551.683,230.267,230.267,39.283,3,7,2,5,600.1,48.1,26.5,46.1,616,1533.236,610.886,922.35,699,0.9671,0.964,0.9605,0.9544,0.9587,0.967,0.9619
HNB,2026,2,407.4237,506,514.396,518.097,913.964,997.807,1451.464,1528.926,223.02,26,10.165,190.262,114.19,114.19,41.824,174.677,1528.926,286.724,424.343,174.677,174.677,29.843,3,7,2,5,509.6,39.6,20.9,34.9,532,1471.323,510.085,961.237,602,0.9651,0.9667,0.9621,0.9581,0.9618,0.9649,0.9631
HNB,2026,3,575.3218,502,618.966,563.792,1099.762,1030.819,1746.53,1623.559,256.143,26,9.006,182.24,133.006,133.006,51.543,216.946,1623.559,509.005,525.326,216.946,216.946,35.554,3,7,2,5,541.2,42.1,25.8,43.4,536,1518.613,563.458,955.155,510,0.9784,0.978,0.9755,0.9618,0.9639,0.9752,0.9721
HNB,2026,4,572.9307,521,603.796,602.889,1072.808,1009.269,1703.724,1625.004,284.464,26,7.62,193.827,139.475,139.475,60.106,214.707,1625.004,328.104,539.032,214.707,214.707,38.008,3,7,2,5,541.7,43,30.1,42.9,563,1778.88,669.799,1109.081,586,0.9539,0.9565,0.9508,0.9439,0.9443,0.9539,0.9506
HNB,2026,5,506.8982,476,594.226,550.607,1055.803,964.49,1676.719,1537.554,248.702,26,11.42,184.219,128.357,128.357,44.765,204.303,1537.554,351.263,394.872,204.303,204.303,33.168,3,7,2,5,512.5,42.2,22.4,40.9,519,1570.995,581.86,989.135,532,0.9624,0.9688,0.958,0.9476,0.9533,0.9644,0.9591
HNB,2026,6,515.7602,475,514.667,553.614,993.44,1025.005,1531.224,1578.619,510.518,26,4.88,163.719,138.452,138.452,52.449,194.114,1581.039,312.435,525.103,194.114,194.114,25.738,3,7,2,5,527,41.8,26.2,38.8,528,1572.89,555.944,1016.946,487,0.961,0.9664,0.9512,0.9469,0.9605,0.9605,0.9577
HQB,2020,1,0,249,0,132.628,0,6.742,0,139.37,-7.73,26,0,51.883,0,0,17.825,62.92,359.652,123.942,80.745,62.92,62.92,17.554,1,8,2,3,359.7,6.5,8.9,21,0,0,0,0,0,,,,,,,
HQB,2020,2,0,232,0,207.219,0,71.255,0,278.474,41.917,26,0,62.922,0,0,33.542,110.754,634.596,335.177,142.83,109.288,109.288,29.118,1,8,3,5,634.6,7.9,11.2,21.9,0,0,0,0,0,,,,,,,
HQB,2020,3,0,252,0,218.922,0,75.021,0,293.943,43.398,26,1.85,64.705,0,0,43.114,109.252,660.621,330.582,151.886,108.772,108.772,39.352,1,8,3,5,660.6,8.1,14.4,21.8,0,0,0,0,0,,,,,,,
HQB,2020,4,0,173,0,116.767,0,57.412,0,174.179,-26.087,26,0,47.611,0,0,17.956,51.2,400.62,210.89,68.724,50.768,50.768,7.085,1,8,3,5,400.6,6,6,10.2,0,0,0,0,0,,,,,,,
HQB,2020,5,0,305,0,196.514,0,73.706,0,270.22,25.481,26,0,71.501,0,0,23.084,101.928,523.323,275.399,123.596,100.512,100.512,24.058,1,8,3,5,523.3,8.9,7.7,20.1,0,0,0,0,0,,,,,,,
